,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_Classical,,,,,,DATASET: 64_16_20/Classical_Hiphop,,,,,,DATASET: 64_16_20/Hiphop_Jazz,,,,,,DATASET: 64_16_20/Jazz_Metal,,,,,,DATASET: 64_16_20/Metal_Pop,,,,,,DATASET: 64_16_20/Pop_rock,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1
,,CLASSIC,0.93,0.91,0.93,0.84,,CLASSIC,"0,93","0,95","0,95","0,88",,CLASSIC,"0,88","0,84","0,84","0,83",,CLASSIC,"0,87","0,84","0,85","0,49",,CLASSIC,"0,72","0,87","0,87","0,67",,CLASSIC,"0,43","0,80","0,80","0,65"
,,QTSE,0.71,0.67,0.88,0.63,,QTSE,"0,82","0,88","0,93","0,66",,QTSE,"0,74","0,72","0,75","0,66",,QTSE,"0,91","0,94","0,64","0,79",,QTSE,"0,89","0,97","0,90","0,49",,QTSE,"0,86","0,88","0,87","0,65"
,,QTSE_P,-,0.57,0.68,0.81,,QTSE_P,-,"0,70","0,78","0,82",,QTSE_P,-,"0,54","0,75","0,77",,QTSE_P,-,"0,75","0,70","0,82",,QTSE_P,-,"0,76","0,81","0,82",,QTSE_P,-,"0,84","0,72","0,68"
,,RYRZ,-,0.53,0.64,0.56,,RYRZ,-,"0,63","0,70","0,49",,RYRZ,-,"0,61","0,58","0,57",,RYRZ,-,"0,61","0,77","0,54",,RYRZ,-,"0,66","0,66","0,73",,RYRZ,-,"0,71","0,57","0,65"
,,QTSE_RZ,-,0.64,0.73,0.74,,QTSE_RZ,-,"0,84","0,75","0,62",,QTSE_RZ,-,"0,66","0,70","0,76",,QTSE_RZ,-,"0,75","0,85","0,65",,QTSE_RZ,-,"0,92","0,78","0,73",,QTSE_RZ,-,"0,84","0,82","0,70"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_hiphop,,,,,,DATASET: 64_16_20/Classical_Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,DATASET: 64_16_20/Hiphop_Metal,,,,,,DATASET: 64_16_20/Jazz_Rock,,,,,,DATASET: 64_16_20/Metal_Reggae,,,,,,DATASET: 64_16_20/Pop_Reggae,,,,
,,CLASSIC,0.4,0.54,0.55,0.57,,CLASSIC,"0,83","0,80","0,80","0,65",,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1
,,QTSE,0.75,0.74,0.6,0.7,,QTSE,"0,62","0,59","0,70","0,50",,CLASSIC,"0,70","0,76","0,77","0,59",,CLASSIC,"0,79","0,74","0,74","0,72",,CLASSIC,"0,82","0,82","0,82","0,57",,CLASSIC,"0,60","0,83","0,83","0,59"
,,QTSE_P,-,0.76,0.68,0.74,,QTSE_P,-,"0,63","0,65","0,68",,QTSE,"0,67","0,84","0,75","0,64",,QTSE,"0,72","0,77","0,52","0,66",,QTSE,"0,76","0,93","0,60","0,73",,QTSE,"0,88","0,81","0,83","0,71"
,,RYRZ,-,0.43,0.48,0.6,,RYRZ,-,"0,64","0,56","0,63",,QTSE_P,-,"0,75","0,67","0,60",,QTSE_P,-,"0,64","0,54","0,67",,QTSE_P,-,"0,76","0,76","0,64",,QTSE_P,-,"0,78","0,69","0,75"
,,QTSE_RZ,-,0.71,0.61,0.68,,QTSE_RZ,-,"0,65","0,61","0,68",,RYRZ,-,"0,64","0,70","0,61",,RYRZ,-,"0,57","0,61","0,65",,RYRZ,-,"0,60","0,71","0,60",,RYRZ,-,"0,76","0,70","0,71"
,,,,,,,,,,,,,,QTSE_RZ,-,"0,67","0,79","0,58",,QTSE_RZ,-,"0,68","0,67","0,62",,QTSE_RZ,-,"0,66","0,65","0,75",,QTSE_RZ,-,"0,81","0,78","0,71"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_jazz,,,,,,DATASET: 64_16_20/Classical_Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,DATASET: 64_16_20/Hiphop_Rock,,,,,,DATASET: 64_16_20/Jazz_Reggae,,,,,,DATASET: 64_16_20/Metal_Rock,,,,,,DATASET: 64_16_20/Reggae_rock,,,,
,,CLASSIC,0.65,0.57,0.57,0.51,,CLASSIC,"0,93","0,83","0,83","0,52",,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1
,,QTSE,0.63,0.66,0.78,0.53,,QTSE,"0,92","0,97","0,90","0,76",,CLASSIC,"0,73","0,70","0,69","0,70",,CLASSIC,"0,69","0,45","0,45","0,59",,CLASSIC,"0,68","0,73","0,73","0,50",,CLASSIC,"0,58","0,52","0,53","0,54"
,,QTSE_P,-,0.59,0.49,0.56,,QTSE_P,-,"0,65","0,77","0,58",,QTSE,"0,61","0,66","0,65","0,50",,QTSE,"0,60","0,46","0,68","0,55",,QTSE,"0,77","0,78","0,51","0,61",,QTSE,"0,65","0,67","0,47","0,54"
,,RYRZ,-,0.55,0.54,0.53,,RYRZ,-,"0,68","0,84","0,61",,QTSE_P,-,"0,51","0,55","0,50",,QTSE_P,-,"0,58","0,58","0,55",,QTSE_P,-,"0,70","0,76","0,66",,QTSE_P,-,"0,66","0,56","0,56"
,,QTSE_RZ,-,0.63,0.59,0.63,,QTSE_RZ,-,"0,82","0,88","0,74",,RYRZ,-,"0,56","0,49","0,56",,RYRZ,-,"0,54","0,52","0,63",,RYRZ,-,"0,58","0,54","0,64",,RYRZ,-,"0,62","0,50","0,57"
,,,,,,,,,,,,,,QTSE_RZ,-,"0,65","0,60","0,54",,QTSE_RZ,-,"0,39","0,59","0,55",,QTSE_RZ,-,"0,65","0,63","0,67",,QTSE_RZ,-,"0,55","0,52","0,61"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_metal,,,,,,DATASET: 64_16_20/Classical_Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,DATASET: 64_16_20/Hiphop_Reggae,,,,,,DATASET: 64_16_20/Jazz_Pop,,,,,,,,,,,,,,,,
,,CLASSIC,"0,74","0,80","0,81","0,52",,CLASSIC,"0,87","0,94","0,94","0,76",,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,,,,,,,,,,
,,QTSE,"0,81","0,84","0,57","0,78",,QTSE,"0,83","0,78","0,82","0,60",,CLASSIC,"0,50","0,57","0,57","0,49",,CLASSIC,"0,77","0,76","0,77","0,68",,,,,,,,,,,,
,,QTSE_P,-,"0,57","0,71","0,64",,QTSE_P,-,"0,65","0,63","0,76",,QTSE,"0,59","0,74","0,59","0,66",,QTSE,"0,85","0,82","0,87","0,74",,,,,,,,,,,,
,,RYRZ,-,"0,52","0,68","0,57",,RYRZ_1,-,"0,64","0,73","0,57",,QTSE_P,-,"0,54","0,57","0,69",,QTSE_P,-,"0,73","0,71","0,69",,,,,,,,,,,,
,,QTSE_RZ,-,"0,69","0,57","0,69",,QTSE_RZ,-,"0,67","0,78","0,73",,RYRZ,-,"0,54","0,57","0,57",,RYRZ,-,"0,75","0,74","0,69",,,,,,,,,,,,
,,,,,,,,,,,,,,QTSE_RZ,-,"0,65","0,66","0,64",,QTSE_RZ,-,"0,82","0,78","0,73",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_pop,,,,,,DATASET: 64_16_20/Classical_Reggae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,DATASET: 64_16_20/Hiphop_Pop,,,,,,,,,,,,,,,,,,,,,,
,,CLASSIC,0.62,0.74,0.74,0.68,,CLASSIC,"0,86","0,53","0,53","0,61",,,MFCC,GD,GD2,IF1,,,,,,,,,,,,,,,,,,
,,QTSE,0.94,0.95,0.87,0.71,,QTSE,"0,76","0,56","0,85","0,59",,CLASSIC,"0,49","0,57","0,58","0,60",,,,,,,,,,,,,,,,,,
,,QTSE_P,-,0.92,0.77,0.83,,QTSE_P,-,"0,70","0,64","0,81",,QTSE,"0,75","0,75","0,72","0,53",,,,,,,,,,,,,,,,,,
,,RYRZ,-,0.69,0.61,0.68,,RYRZ_1,-,"0,63","0,67","0,60",,QTSE_P,-,"0,65","0,71","0,56",,,,,,,,,,,,,,,,,,
,,QTSE_RZ,-,0.92,0.82,0.78,,QTSE_RZ,-,"0,70","0,73","0,55",,RYRZ,-,"0,63","0,64","0,49",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,QTSE_RZ,-,"0,70","0,67","0,69",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_Reggae,,,,,,DATASET: 64_16_20/Classical_Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,MFCC,GD,GD2,IF1,,,,,,,,,,,,,,,,,,,,,,,,
,,CLASSIC,"0,56","0,51","0,51","0,59",,CLASSIC,"0,87","0,87","0,87","0,70",,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE,"0,56","0,63","0,55","0,69",,QTSE,"0,92","0,92","0,94","0,69",,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE_P,-,"0,70","0,50","0,60",,QTSE_P,-,"0,90","0,73","0,86",,,,,,,,,,,,,,,,,,,,,,,,
,,RYRZ,-,"0,55","0,54","0,49",,RYRZ_1,-,"0,84","0,76","0,65",,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE_RZ,-,"0,59","0,57","0,53",,QTSE_RZ,-,"0,90","0,87","0,77",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DATASET: 64_16_20/Blues_rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MFCC,GD,GD2,IF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLASSIC,"0,55","0,51","0,51","0,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE,"0,56","0,61","0,52","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE_P,-,"0,57","0,53","0,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RYRZ,-,"0,54","0,48","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,QTSE_RZ,-,"0,64","0,61","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRAIN,classical (BASELINE no train),QTSE (no train),QTSE (train),QTSE diff,QTSE_P (no train),QTSE_P (train),QTSE_P diff,RYRZ (no train),RYRZ (train),RYRZ diff,QTSE_RZ (no train),QTSE_RZ (train),QTSE_RZ diff,,,,,,,,,,,,,,,,,,,,,
,,blues_classical,"0,91","0,67","0,71",,"0,57","0,65",,"0,53","0,7",,"0,64","0,76",,,,,,,,,,,,,,,,,,,,,,
,,classical_hiphop,"0,95","0,88","0,84",,"0,70","0,75",,"0,63","0,901",,"0,84","0,89",,,,,,,,,,,,,,,,,,,,,,
,,classical_rock,"0,94","0,78","0,74",,"0,65","0,79",,"0,64","0,83",,"0,67","0,88",,,,,,,,,,,,,,,,,,,,,,
,,classical_pop,"0,87","0,92","0,94",,"0,90","0,93",,"0,84","0,92",,"0,90","0,94",,,,,,,,,,,,,,,,,,,,,,
,,metal_pop,"0,87","0,97",1,,"0,76","0,96",,"0,66","0,94",,"0,92","0,99",,,,,,,,,,,,,,,,,,,,,,
,,jazz_reggae,"0,45","0,46","0,44",,"0,58","0,51",,"0,54","0,57",,"0,39","0,61",,,,,,,,,,,,,,,,,,,,,,
,,blues_reggae,"0,51","0,63","0,67",,"0,70","0,72",,"0,55","0,73",,"0,59","0,62",,,,,,,,,,,,,,,,,,,,,,
,,blues_rock,"0,51","0,61","0,61",,"0,57","0,64",,"0,54","0,63",,"0,64","0,67",,,,,,,,,,,,,,,,,,,,,,
,,reggae_rock,"0,52","0,67","0,72",,"0,66","0,75",,"0,62","0,76",,"0,55","0,72",,,,,,,,,,,,,,,,,,,,,,
,,clasical_reggae,"0,53","0,56","0,56",,"0,70","0,72",,"0,63","0,7",,"0,70","0,79",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRAIN,classical (BASELINE no train),QTSE (no train),QTSE (train),QTSE diff,QTSE_P (no train),QTSE_P (train),QTSE_P diff,RYRZ (no train),RYRZ (train),RYRZ diff,QTSE_RZ (no train),QTSE_RZ (train),QTSE_RZ diff,,,,,,,,,,,,,,,,,,,,,
,,blues_classical,"0,91","0,67","0,71",,"0,57","0,57",,"0,53","0,66",,"0,64","0,75",,,,,,,,,,,,,,,,,,,,,,
,,classical_hiphop,"0,95","0,88","0,85",,"0,70","0,74",,"0,63","0,88",,"0,84","0,88",,,,,,,,,,,,,,,,,,,,,,
,,classical_rock,"0,94","0,78","0,75",,"0,65","0,83",,"0,64","0,83",,"0,67","0,87",,,,,,,,,,,,,,,,,,,,,,
,,classical_pop,"0,87","0,92","0,94",,"0,90","0,95",,"0,84","0,93",,"0,90","0,95",,,,,,,,,,,,,,,,,,,,,,
,,metal_pop,"0,87","0,97","0,99",,"0,76","0,96",,"0,66","0,96",,"0,92","0,99",,,,,,,,,,,,,,,,,,,,,,
,,jazz_reggae,"0,45","0,46","0,35",,"0,58","0,56",,"0,54","0,57",,"0,39","0,59",,,,,,,,,,,,,,,,,,,,,,
,,blues_reggae,"0,51","0,63","0,67",,"0,70","0,71",,"0,55","0,7",,"0,59","0,7",,,,,,,,,,,,,,,,,,,,,,
,,blues_rock,"0,51","0,61","0,6",,"0,57","0,67",,"0,54","0,6",,"0,64","0,66",,,,,,,,,,,,,,,,,,,,,,
,,reggae_rock,"0,52","0,67","0,73",,"0,66","0,73",,"0,62","0,78",,"0,55","0,73",,,,,,,,,,,,,,,,,,,,,,
,,clasical_reggae,"0,53","0,56","0,58",,"0,70","0,74",,"0,63","0,75",,"0,70","0,77",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TRAIN,classical (BASELINE no train),QTSE (no train),QTSE (train),QTSE diff,QTSE_P (no train),QTSE_P (train),QTSE_P diff,RYRZ (no train),RYRZ (train),RYRZ diff,QTSE_RZ (no train),QTSE_RZ (train),QTSE_RZ diff,,,,,,,,,,,,,,,,,,,,,
,,blues_classical,"0,91","0,67","0,71",,"0,57","0,61",,"0,53","0,68",,"0,64","0,755",,,,,,,,,,,,,,,,,,,,,,
